date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-01-22,Mambo No. 5 (A Little Bit Of...),Lou Bega,42.0,spotify:track:6x4tKaOzfNJpEJHySoiJcs,0.103,0.622,220293.0,0.807,0.0,5.0,0.306,-6.752,0.408,174.06,4.0,0.0
2000-01-22,Music Of My Heart,'N Sync & Gloria Estefan,98.0,spotify:track:5smPCwVq1pp9b9mnhKRxQj,0.752,0.671,261975.0,0.292,0.00553,1.0,0.179,-13.687,0.0288,114.924,4.0,0.0
2000-01-22,The Rockafeller Skank,Fatboy Slim,95.0,spotify:track:7mCQK9YB25WZw1saUjfL4e,0.0117,0.665,413880.0,0.991,0.00392,7.0,0.339,-6.725,0.256,152.596,4.0,1.0
2000-01-22,There She Goes,Sixpence None The Richer,79.0,spotify:track:43z6scIZU2QcEieMQFAJRG,0.000856,0.498,164280.0,0.789,5.83e-06,10.0,0.104,-5.724,0.0319,120.176,4.0,1.0
2000-01-22,We Can't Be Friends,Deborah Cox With R.L.,97.0,spotify:track:5DgfKcbzW0cyEAur0e9N68,0.0409,0.556,281200.0,0.436,0.0,7.0,0.119,-7.906,0.0335,119.91,4.0,1.0
2000-01-29,(You Drive Me) Crazy,Britney Spears,99.0,spotify:track:1DSJNBNhGZCigg9ll5VeZv,0.0534,0.748,198067.0,0.939,0.0,0.0,0.32,-4.288,0.0341,104.001,4.0,0.0
2000-01-29,All Things Considered,Yankee Grey,88.0,spotify:track:6UFpbLu6DpxTZzCHlb1A1j,0.237,0.656,159667.0,0.746,0.0,8.0,0.0214,-5.379,0.0325,140.865,4.0,1.0
2000-01-29,Steal My Sunshine,Len,39.0,spotify:track:4agp6oHofabdUedr0B1krj,0.394,0.412,265533.0,0.829,0.0,4.0,0.108,-11.112,0.529,191.476,4.0,1.0
2000-01-29,Unpretty,TLC,36.0,spotify:track:0BUoLE4o9eVahDHvTqak67,0.00152,0.648,278067.0,0.622,5.97e-05,7.0,0.109,-6.063,0.0428,88.684,4.0,1.0
2000-01-29,(You Drive Me) Crazy,Britney Spears,99.0,spotify:track:1DSJNBNhGZCigg9ll5VeZv,0.0534,0.748,198067.0,0.939,0.0,0.0,0.32,-4.288,0.0341,104.001,4.0,0.0
2000-01-29,All Things Considered,Yankee Grey,88.0,spotify:track:6UFpbLu6DpxTZzCHlb1A1j,0.237,0.656,159667.0,0.746,0.0,8.0,0.0214,-5.379,0.0325,140.865,4.0,1.0
2000-01-29,Steal My Sunshine,Len,39.0,spotify:track:4agp6oHofabdUedr0B1krj,0.394,0.412,265533.0,0.829,0.0,4.0,0.108,-11.112,0.529,191.476,4.0,1.0
2000-01-29,Unpretty,TLC,36.0,spotify:track:0BUoLE4o9eVahDHvTqak67,0.00152,0.648,278067.0,0.622,5.97e-05,7.0,0.109,-6.063,0.0428,88.684,4.0,1.0
2000-02-05,Bug A Boo,Destiny's Child,96.0,spotify:track:3iZizHVmWHdaJbvcU65S6x,0.00413,0.76,212440.0,0.718,7.63e-06,6.0,0.18,-3.087,0.147,104.42,4.0,1.0
2000-02-05,She Thinks My Tractor's Sexy,Kenny Chesney,100.0,spotify:track:3QV7NYkrmV0Q0IHdFJw9hO,0.0664,0.689,248067.0,0.886,0.0,10.0,0.278,-7.066,0.0382,122.07,4.0,0.0
2000-02-05,Someday,Sugar Ray,50.0,spotify:track:6zeDYmP3ARpURvpK29Q09P,0.0105,0.745,242800.0,0.682,0.0862,1.0,0.21,-4.39,0.0287,110.857,4.0,0.0
2000-02-05,The Quittin' Kind,Joe Diffie,94.0,spotify:track:4u6U5nwYHok67BBymI9ldh,0.03,0.595,207467.0,0.904,4.43e-05,7.0,0.397,-4.803,0.0355,102.002,4.0,1.0
2000-02-05,Bug A Boo,Destiny's Child,96.0,spotify:track:3iZizHVmWHdaJbvcU65S6x,0.00413,0.76,212440.0,0.718,7.63e-06,6.0,0.18,-3.087,0.147,104.42,4.0,1.0
2000-02-05,She Thinks My Tractor's Sexy,Kenny Chesney,100.0,spotify:track:3QV7NYkrmV0Q0IHdFJw9hO,0.0664,0.689,248067.0,0.886,0.0,10.0,0.278,-7.066,0.0382,122.07,4.0,0.0
2000-02-05,Someday,Sugar Ray,50.0,spotify:track:6zeDYmP3ARpURvpK29Q09P,0.0105,0.745,242800.0,0.682,0.0862,1.0,0.21,-4.39,0.0287,110.857,4.0,0.0
2000-02-05,The Quittin' Kind,Joe Diffie,94.0,spotify:track:4u6U5nwYHok67BBymI9ldh,0.03,0.595,207467.0,0.904,4.43e-05,7.0,0.397,-4.803,0.0355,102.002,4.0,1.0
2000-02-12,Home To You,John Michael Montgomery,90.0,spotify:track:3iR9PLIjOlmi212gyGLPYe,0.582,0.646,209067.0,0.366,0.000228,5.0,0.128,-11.183,0.0233,90.338,4.0,1.0
2000-02-12,L.A. Song,Beth Hart,97.0,spotify:track:7215hi8TSJYPzk2eeI2udu,0.206,0.351,271107.0,0.615,0.0,7.0,0.985,-7.621,0.0451,127.798,3.0,1.0
2000-02-12,"Live, Laugh, Love",Clay Walker,98.0,spotify:track:3Th5HBAlRZF0oN31ubxHA9,0.195,0.647,246267.0,0.746,0.0,2.0,0.0271,-10.597,0.0437,98.991,4.0,1.0
2000-02-12,The Chemicals Between Us,Bush,93.0,spotify:track:2jOdqw7a9uV1s256FXXR4W,0.00317,0.512,217493.0,0.958,0.0403,7.0,0.295,-3.979,0.16,97.715,4.0,1.0
2000-02-12,"Tricky, Tricky",Lou Bega,87.0,spotify:track:4INRUdIART6zmdeLquiu5g,0.125,0.858,203133.0,0.947,0.0,0.0,0.0367,-3.557,0.235,151.037,4.0,1.0
2000-02-12,Where My Girls At?,702,48.0,spotify:track:4VSyH8AkIt3kaR5xIPFVVi,0.0352,0.705,166693.0,0.725,0.0149,4.0,0.194,-7.435,0.0506,92.186,4.0,1.0
2000-02-12,Home To You,John Michael Montgomery,90.0,spotify:track:3iR9PLIjOlmi212gyGLPYe,0.582,0.646,209067.0,0.366,0.000228,5.0,0.128,-11.183,0.0233,90.338,4.0,1.0
2000-02-12,L.A. Song,Beth Hart,97.0,spotify:track:7215hi8TSJYPzk2eeI2udu,0.206,0.351,271107.0,0.615,0.0,7.0,0.985,-7.621,0.0451,127.798,3.0,1.0
